IN	Niveau	Champ (alias)	Champ (standard)	Namespace	Exemples de valeurs	Description
N	Objet physique	Collection Owner	Iptc4xmpExt:AOSource	IPTC Photo Metadata Extension	Musée archéologique national	Institution propriétaire, dépositaire ou responsable de la collection à laquelle appartient l'objet physique.
N	Objet physique	Collection Location	Iptc4xmpExt:AOLocation	IPTC Photo Metadata Extension	Saint-Germain-en-Laye, France	Lieu de conservation actuel de l'objet ou de la collection.
N	Objet physique	Catalog URL	Iptc4xmpExt:AOCatalogURL	IPTC Photo Metadata Extension	https://collections.example.org/catalog/MAN-1887-42-1	URL de la notice de catalogue décrivant l'objet physique.
N	Objet physique	Object Creator	Iptc4xmpExt:AOCreator	IPTC Photo Metadata Extension	Inconnu	Créateur, atelier, culture ou autorité de production attribuée à l'objet, lorsque cette information est connue.
N	Objet physique	Object Creation Date	Iptc4xmpExt:AODateCreated	IPTC Photo Metadata Extension	VIIIe siècle	Date ou période de création de l'objet physique telle qu'elle est enregistrée dans la documentation de collection.
N	Objet physique	Temporal Coverage	dcterms:temporal	Dublin Core Terms	Haut Moyen Âge	Période chronologique ou intervalle historique associé à l'objet physique. Peut utiliser une forme textuelle ou un intervalle normalisé dans le système source.
N	Objet physique	Object Description	iramat:PhysicalObjectDescription	IRAMAT XMP Extension	Épée en fer à lame droite, conservée avec corrosion de surface	Description synthétique de l'objet physique. Elle doit rester distincte de la description de la photographie.
N	Objet physique	Material	iramat:Material	IRAMAT XMP Extension	fer	Matériau principal ou matériaux constitutifs de l'objet physique, idéalement exprimés au moyen d'un vocabulaire contrôlé.
N	Objet physique	Production Place	iramat:ProductionPlace	IRAMAT XMP Extension	Europe occidentale	Lieu de production ou d'origine attribué à l'objet physique, lorsqu'il est connu.
N	Objet numérique associé	Related Dataset	iramat:RelatedDataset	IRAMAT XMP Extension	https://doi.org/10.5281/zenodo.15829515	URI ou DOI d'un jeu de données associé à l'objet ou à l'image, par exemple un tableau d'analyses élémentaires déposé sur Zenodo.
N	Objet numérique associé	Related Publication	dcterms:isReferencedBy	Dublin Core Terms	https://doi.org/10.1016/j.jas.2026.000001	Publication scientifique, rapport ou autre ressource bibliographique qui cite, décrit ou interprète l'image, l'objet ou les données associées.
N	Objet numérique associé	Related IIIF Manifest	iramat:RelatedIIIFManifest	IRAMAT XMP Extension	https://iiif.example.org/manifest/IMG-000145.json	URI du manifeste IIIF Presentation décrivant l'image ou l'ensemble documentaire auquel elle appartient.
N	Objet numérique associé	Related RTI Viewer	iramat:RelatedRTI	IRAMAT XMP Extension	https://example.org/view/rti/sword-0001/	URI d'un viewer RTI ou d'une ressource Reflectance Transformation Imaging associée au même objet.
N	Objet numérique associé	Related 3D Model	iramat:Related3DModel	IRAMAT XMP Extension	https://doi.org/10.5281/zenodo.0000000	URI d'un modèle 3D associé à l'objet physique.
N	Objet numérique associé	Related API	iramat:RelatedAPI	IRAMAT XMP Extension	https://api.example.org/objects/MAN-1887-42-1/analyses	Endpoint d'API donnant accès à des métadonnées, mesures ou analyses associées à l'objet ou à l'image.
N	Objet numérique associé	Related Digital Object	iramat:RelatedDigitalObject	IRAMAT XMP Extension	https://example.org/resource/12345	Relation générique vers une autre ressource numérique associée lorsqu'aucune propriété plus précise ne convient.
N	Objet numérique associé	Digital Object Identifier	dc:identifier	Dublin Core	https://doi.org/10.5281/zenodo.15829515	Identifiant pérenne de l'objet numérique associé, utilisé lorsque cette ressource est décrite comme entité distincte dans le système de métadonnées.
N	Objet numérique associé	Digital Object Type	dc:type	Dublin Core	Dataset	Nature de la ressource numérique associée : Dataset, Text, 3DModel, IIIFManifest, Software, API, etc.
N	Objet numérique associé	Digital Object Format	dc:format	Dublin Core	text/csv	Format ou type MIME de la ressource numérique associée.
N	Objet numérique associé	Relation Type	dcterms:relation	Dublin Core Terms	isDocumentedBy	Type de relation entre l'image, l'objet physique et la ressource numérique. Employer de préférence une valeur contrôlée et explicite plutôt qu'une simple liste d'URL non qualifiées.
N	Tous niveaux	References	dcterms:references	Dublin Core Terms	https://example.org/publication	Références externes explicitement citées par la ressource décrite. Ce champ générique doit être utilisé seulement lorsqu'une propriété relationnelle plus précise n'est pas disponible.
